id;titulo;descripcion;nombre;patrocinador
87878;How do jetpacks work? And why don't we all have them?;In 1961, Yuri Gagarin piloted a spacecraft in humanity's first manned space flight. A week later, Bell Aerosystems debuted a gas-powered rocket pack that could fly 35 meters in 13 seconds. Unfortunately, engineers knew this short flight was all the rocket pack could muster. So why was a massive spacecraft easier to send flying than a single pilot? Richard Browning and Debbie Browning investigate. [Directed by Mitch Hearn and Lisa Vertudaches, narrated by Bethany Cutmore-Scott, music by Cem Misirlioglu].;2;
88259;What regret can teach you about living a good life;Regret is one of our most powerful emotions -- and also one of the most misunderstood. Over the past two years, author Daniel H. Pink has collected a trove of more than 16,000 regrets from people in 105 countries in an effort to better understand this mysterious emotion. He shares the key patterns that emerged (it all boils down to the same four core regrets, he says) and explains how to transform your own regrets in order to create the life you've always wanted to live. (This talk and conversation, hosted by TED current affairs curator Whitney Pennington Rodgers, was part of an exclusive TED Membership event. Visit ted.com/membership to become a TED Member.);2;
87379;"How to fix the ""bugs"" in the net-zero code";"Lucas Joppa, Microsoft's first chief environmental officer, thinks about climate change through the lens of coding, and he says the world's current net-zero approach simply won't compute. So how do we create a system that actually accounts for all the world's carbon emissions -- and helps us get to zero (as in zero additional carbon added to the atmosphere by 2050)? Joppa shares three ""bugs"" in our current net-zero code, a four-point plan for fixing them É?? and how logic can help us change the current course of climate change.";2;
86286;"""Big Yellow Taxi"" / ""Song for Sunshine""";"Legendary Scottish indie-pop band Belle and Sebastian give a bright rendition of Joni Mitchell's ""Big Yellow Taxi"" and their own ""Song for Sunshine"" at TED's Countdown Summit, a global gathering aimed at accelerating solutions to the climate crisis.";2;
87806;How film created hope after the Beirut port explosion;When Lebanon was rocked by a massive explosion at the port of Beirut, filmmaker Mounia Akl came face-to-face with chaos -- and the power of art to create some sense of order. In this poetic, moving talk, Akl shares the story of how she and her crew finished their film as the city recovered from disaster, discovering the truth that comes out of us in times of crisis and creating a new understanding of home in the process.;2;
88247;"What is ""normal"" and what is ""different""?";"The word ""normal"" is often used as a synonym for ""typical,"" ""expected,"" or even ""correct."" By that logic, most people should fit the description of normal. But time and time again, so-called normal descriptions of our bodies, minds, and perceptions have turned out to match almost no one. So what does normal actually meanÉ?? and should we be relying on it so much? Yana Buhrer Tavanier investigates. [Directed by Eoin Duffy, narrated by Pen-Pen Chen, music by Adam Alexander, Bamm Bamm Wolfgang].";2;
87265;The ocean's ingenious climate solutions;The ocean is often thought of as a victim of climate change, in need of human protection. But ocean expert Susan Ruffo says that mindset needs to shift. From storing carbon to providing protection to coastal communities, Ruffo highlights the ocean's ready-made solutions to the climate crisis and asks: With more than eighty percent of the ocean still unexplored, what new solutions are waiting to be discovered?;2;
78169;The origins of blackface and Black stereotypes;If you're wondering why blackface -- mimicking people of African descent via stereotypes and makeup-darkened skin -- is a big deal, then perhaps a little history lesson can help demystify the outcry. Dwan Reece, curator at the National Museum of African American History and Culture, explains how this practice permeates the American psyche and culture (in theater, music, books and beyond) and why it's not simply harmless fun, but a legacy of oppression.;2;
87202;How we're reducing the climate impact of electronics;The seemingly mundane electronics you use every day -- your stove, dishwasher, TV and much more -- have a cumulative effect on the climate, says Best Buy's director of environmental affairs Tim Dunn. He shares how the company is helping people reduce their carbon impact through energy-efficient products, considering the full life cycle of everything they sell and designing for circularity -- as well as their commitment to get to net-zero by 2040.;2;
86535;A vibrant dance performance of funk classics;"Let It Happen, a dance trio comprised of Dutch twin sisters Norah and Yarah along with younger sister Rosa, light up the TED stage to remixes of funk classics ""Get On the Good Foot"" by James Brown and ""Hit the Road Jack"" by Ray Charles.";2;
86287;"""Dive In""";"With his signature verve, guitarist and vocalist Dave Matthews delivers an acoustic performance of ""Dive In"" as part of TED's Countdown Global Livestream on October 30, 2021.";2;
87879;Got millet? How marketing could improve the lives of African farmers;"From ""got milk?"" to ""avocados from Mexico,"" marketing influences what you eat more than you may realize. But despite the known power of food marketing, farmers in Africa are more likely to receive funding for seed and fertilizer than they are for advertising geniuses. Agricultural development expert Zo«Æ Karl-Waithaka outlines three ways industry, governments, NGOs and others can help African farmers improve their livelihoods -- and positively impact society, the economy and the environment.";2;
87853;The myth of Gawain and the Green Knight;It was Christmas in Camelot and King Arthur was throwing a party. In the midst of the revelry, a towering knight proposed a game. He challenged the warriors present to attack him with his own axe. If they could strike him down, they would win his powerful weapon. However, he would be allowed to return the blow in one year. Dan Kwartler details the myth of Sir Gawain and the Green Knight. [Directed by Sarina Nihei, narrated by Jack Cutmore-Scott, music by Stephen LaRosa].;2;
87645;How wind energy could power Earth ... 18 times over;Over the last two decades, the wind power industry has grown at a dizzying pace. (Fun fact: a single rotation from one of the world's most powerful wind turbines can generate enough electricity to charge more than 1,400 cell phones.) Building off this exponential growth, Denmark's climate minister Dan J«˜rgensen lays out his plan to end the country's oil industry by 2050 and transition to a fossil-free future powered by wind energy.;2;
87245;The incredible cancer-detecting potential of photoacoustic imaging;Could we use the energy from light and sound to detect disease? TED Fellow Lei Li shares the exciting promise of photoacoustic imaging: an affordable, painless and accurate method of converting light into sound in order to create high-resolution images of what's going on inside our bodies. From early detection of breast cancer to steering medicine-delivering micro-robots, learn how this cutting-edge technology could open up a new world of possibility when it comes to seeing, tracking and diagnosing disease.;2;
87807;The legacy of racial injustice in the US criminal legal system;In an engaging, insightful conversation, criminal justice reformer Nick Turner breaks down the ways the US criminal legal system perpetuates centuries-old racial and economic inequality. He joins TED current affairs curator Whitney Pennington Rodgers to outline why the best way to actually deliver justice and safety is to shrink the system and recognize the humanity of those caught in it.;2;0
87756;Can you outsmart the fallacy that divided a nation?;It's 1819. The US is preparing to make Missouri and Maine new states. One representative insists that slavery shouldn't be allowed in any new state. Another believes it should be a state's right to choose. A compromise is proposed: slavery will be allowed in Missouri and prohibited in Maine. Can you spot the problem with this compromise? Elizabeth Cox explores the middle ground fallacy. [Directed by TOGETHER, narrated by Jack Cutmore-Scott, music by Massassauga].;2;
87584;Sex education should start with consent;Consent can be a tricky topic to talk about in sex education curriculums, but it doesn't have to be. In this hilarious and relatable talk, sex educator and TED Fellow Kaz offers a fresh look at teaching young people about the core principles of consent -- and shows how demystifying this topic leads to healthier and more satisfying relationships for people of all ages.;2;
87485;Smart solutions to decarbonize buildings;Buildings are bad news for the climate -- the indoor spaces we spend most of our lives in emit 40 percent of the world's greenhouse gases. Rethinking how to create and occupy the spaces we inhabit, Katie McGinty, chief sustainability officer at Johnson Controls, walks us through smart, efficient and eco-friendly ways to decarbonize buildings -- and the benefits to both business and the planet.;2;
87482;How to provide cooling for everyone -- without warming the planet;"""The way we cool things down is heating the planet even more,"" says sustainable development expert Rachel Kyte -- and the solutions go well beyond just fixing air-conditioning. She identifies four major areas with transformative solutions -- from roofs painted with bright white paint to solar control glass to more efficient cold chains for vaccines -- that can be implemented in fair and sustainable ways. Learn more about what a community designed for cool could look like.";2;
86285;The mind-bending art of deep time;Short-sightedness may be the greatest threat to humanity, says conceptual artist Katie Paterson, whose work engages with deep time -- an idea that describes the history of the Earth over a time span of millions of years. In this lively talk, she takes us through her art -- a telephone line connected to a melting glacier, maps of dying stars É?? and presents her latest project: the Future Library, a forested room holding unread manuscripts from famous authors, not to be published or read until the year 2114.;2;
87464;The myth of Anansi, the trickster spider;Long ago, all stories belonged to Nyame, the all-seeing Sky God. But one creature, Anansi, was determined to bring the stories down to Earth. Anansi went to Nyame and requested to take ownership of the world's stories. The Sky God told Anansi that he could have all the stories he wished É?? but only if he could complete an impossible task. Emily Zobel Marshall shares the cunning spider's journey. [Directed by Keegan Thornhill, narrated by Christina Greer, music by Salil Bhayani, cAMP Studio].;2;
87246; A different understanding of American patriotism;American democracy cannot be great until it is good, says lawyer, Harvard professor and former governor of Massachusetts Deval Patrick. A self-identified patriot, Patrick stands behind the fundamental values and civic ideals that he believes make the US unique -- and outlines how the country has strayed from those same edicts. Calling for a collective patriotism free from cynicism and fatalism, Patrick underlines the urgency to reset national aspirations in order to save democracy.;2;
87481;4 ways to redefine power at work to include women of color;"With many women of color considering exiting the workforce due to unfair conditions, it's time to reshape systems in order to put an end to this massive loss of talent. Exposing the harmful repercussions of racist, toxic organizational cultures, soul coach Rha Goddess and corporate inclusion visionary Deepa Purushothaman share four pathways to reimagine work so women of color are centered as leaders. Instead of aspiring to a ""seat at the table"", they urge us to remake the whole table -- and stop fighting for ""one broke-ass chair.""";2;
86536;How to boost nature-based solutions to climate change;"With the ongoing extinction of species, destruction of forests and melting of ice caps, one thing is clear: even with huge advances in technology, individuals alone can't restore the world's ecological systems. Lord Zac Goldsmith, the UK Minister for Pacific and the Environment, believes that while we each have a part in climate activism, governments can propel the movement even further using political will. By taking steps to preserve nature through policy, regulations and proper funding, Goldsmith shows how leaders can help reverse the dangerous cycles propelling climate change. ""Nature can rebound incredibly quickly,"" he says. ""It's up to us to make sure that happens.""";2;
87042;Which animal has the best eyesight?;The animal kingdom boasts an incredible diversity of eyes. Some rotate independently while others have squiggly-shaped pupils. Some have protective lids, others squirt blood. But which creature has the best sight? Which sees best in the darkness? Which sees the most detail? Which animal sees the most color? And finally, which detects motion the fastest? Thomas W. Cronin investigates. [Directed by Josefina Preumayr, narrated by Addison Anderson, music by Andr«∏ Aires].;2;
86619;The new reality of fashion is digital;Picking an outfit? Take inspiration from this thrilling talk about digital fashion: the new, weird and wonderful world of fashion designed for our virtual worlds. Watch as Gala Marija Vrbanic, a leader in this emerging field, showcases what you could wear across your digital channels -- be it TikTok, Instagram or in the metaverse -- and shares how it could infinitely expand the creative possibilities of fashion, identity and self-expression.;2;
82946;Are brain waves the secret to treating Alzheimer's?;What if we could use brain waves to treat Alzheimer's? Professor and neuroscientist Li-Huei Tsai details a promising new approach to artificially stimulate gamma brain waves using light and sound therapy, to increase connectivity and synchrony and delay the onset of this deadly disease. This non-invasive therapy has already been shown to work in mice -- now it's on to human clinical trials, with the potential to usher in a brighter future for everyone. (Followed by a Q&A with head of TED Chris Anderson);2;
87043;What if women built the world they want to see?;Only four percent of construction workers are female -- that's totally unacceptable, but it's also a huge opportunity both for women and for the trades, says youth educator and builder Emily Pilloton-Lam. She makes the case for putting power (and power tools) into the hands of young women and gender-expansive youth, dreaming of inclusive construction sites and daring to ask: What if women built the world they want to see? (Plus, Pilloton-Lam dazzles with a live demo of her own woodworking skills ... while giving the talk.);2;
86722;How to fix broken supply chains;Supply chain challenges are real, but they're not new, says global trade expert Dustin Burke. In the face of disruptions ranging from natural disasters to pandemics, how do we make sure supply chains can keep up? Burke offers a combination of solutions -- from companies sharing risk to better forecasting disruptions -- to help create a more resilient, efficient tomorrow.;2;1
87126;Can you solve the birthday cake riddle?;Your friend's birthday is tomorrow, and he's turning... well... you've forgotten. A ginormous cake has been prepared and your job is to sculpt his age as the chocolate centerpiece. The birthday boy is a giant, and you're afraid that if your forgetfulness becomes known, you'll become part of the feast. Can you figure out your friend's age before the party? Marie Brodsky shows how. [Directed by Igor Coric, Artrake Studio, narrated by Addison Anderson, music by Cem Misirlioglu].;2;
84183;What you need to know about carbon removal;"What do woolly pigs have to do with climate change? They're part of a vital, ingenious and evolving strategy to take carbon out of the sky and store it safely -- in trees, soils, the ocean, buildings, rocks and deep underground. Every carbon removal approach takes some combination of natural resources, human ingenuity and technology, says climate thinker Gabrielle Walker. If we get the mix right, we can clean up the environmental mess we've made, reverse the processes behind climate change and give nature a chance to heal. ""What goes up must now come down,"" she says.";2;
86167;How radical hospitality can change the lives of the formerly incarcerated;For the nearly 20 million Americans with a felony record, punishment doesn't end after their prison sentence. Sociologist Reuben Jonathan Miller sheds light on the aftershocks of mass incarceration through the stories of people who've lived it, left it and still have to grapple with punishing policies after their release. A challenge to rethink the criminal justice system in the US -- and make a place in society for all people, even those who've done harm.;2;0
86145;The tragic myth of the Sun God's son;Every morning, Helios unleashed his golden chariot, and set out across the sky. As the Sun God transformed dawn into day, he thought of his son, Phaethon, below. To prove to Phaethon that he was truly his father, Helios decided to grant him anything he wanted. Unfortunately, what Phaethon wanted was to drive Helios' chariot for a day. Iseult Gillespie shares the tragic myth of the charioteer. [Directed by Raghav Arumugam and Jagriti Khirwar, narrated by Susan Zimmerman, music by Salil Bhayani, cAMP Studio].;2;
86534;The unexpected, underwater plant fighting climate change;Once considered the ugly duckling of environmental conservation, seagrass is emerging as a powerful tool for climate action. From drawing down carbon to filtering plastic pollution, marine scientist Carlos M. Duarte details the incredible things this oceanic hero does for our planet -- and shows ingenious ways he and his team are protecting and rebuilding marine life.;2;
86532;How to break down barriers and not accept limits;"What can't Candace Parker do? A two-time NCAA champion, two-time Olympic gold medalist and two-time WNBA champion, Parker knows what it takes to fight for your dreams. In this inspiring talk, she shares what she's learned during a career spent not accepting limits -- and how her daughter taught her the best lesson of all. ""Barrier breaking is about not staying in your lane and not being something that the world expects you to be,"" she says. ""It's about not accepting limitations.""";2;
86267;"""A Ride With Polly Jean"" / ""Ali Farka Touche""";"Settle in for a jazzy, transportive set by Jenny Scheinman with Nels Cline and Todd Sickafoose, performing ""A Ride With Polly Jean"" and ""Ali Farka Touche.""";2;
86062;Why do cats have vertical pupils?;Peering into the eyes of different animals, you'll see some extraordinarily shaped pupils. House cats, for one, are twilight hunters with vertically elongated pupils. Many grazing animals, like goats, have rectangular pupils. Other animals have crescent- or heart-shaped pupils. So, what's going on? Why are there so many different pupil shapes? Emma Bryce digs into the science of animal vision. [Directed by B«≠lint Gelley, CUB Animation Ltd, narrated by Alexandra Panzer, music by J«¸zsef Iszlai].;2;
83756;Why great leaders take humor seriously;There's a mistaken belief in today's working world that leaders need to be serious all the time to be taken seriously. The research tells a different story. Based on the course they teach at Stanford's Graduate School of Business, behavioral scientist Jennifer Aaker and corporate strategist Naomi Bagdonas delve into the surprising power of humor: why it's a secret weapon to build bonds, power, creativity and resilience -- and how we can all have more of it.;2;
86000;One company at a time;Diversity pragmatist Janet M. Stovall shares how we can foster a more diverse and inclusive work culture that empowers unique perspectives.;2;
86567;How comic strips create better health care;Comics creator Sam Hester is part of a growing movement within health care: graphic medicine. In short, literally drawing attention to a patient's needs and goals with pictures to foster better and more accessible caretaking. Hester shares how illustrating small details of her mother's medical story as she struggled with mysterious symptoms alongside her Parkinson's and dementia led to more empathy, understanding, communication and peace of mind.;2;
85588;Why is it so hard to escape poverty?;Imagine that you've been unemployed for months. Government benefit programs have helped you cover your expenses, but you're barely getting by. Finally, you receive a paycheckÉ?? but there's a catch. Your new job pays enough to disqualify you from benefit programs, but not enough to cover your costs. So how do we design benefit programs that don't penalize you for working? Ann-Hel«∏n Bay investigates. [Directed by Avi Ofer, narrated by Christina Greer, music by Salil Bhayani, cAMP Studio].;2;
86387;How to realistically decarbonize the oil and gas industry;Bj«˜rn Otto Sverdrup leads the Oil and Gas Climate Initiative (OGCI), which gathers the CEOs of twelve of the world's largest oil and gas companies around an ambitious goal: to get one of the sectors contributing most to climate change to drastically lower their own carbon emissions. He describes a possible path for the industry to pivot to net-zero operations, reimagining the role it could play in helping decarbonize the economy and changing how we consume energy -- and he calls for setting a price on carbon. (Followed by a Q&A with Countdown cofounder Lindsay Levin);2;
85266;"I'm tired of people telling me to ""grind""";"In an uproarious stand-up set, comedian Pardis Parker rails against a central tenet of modern culture: the ""grind.""";2;
83177;How biochar removes CO2 from the air -- and helps farmers thrive;Biochar is a kind of charcoal that removes CO2 from the atmosphere, helping yield healthy crops and even producing abundant renewable energy in the form of electricity as it's made. This exciting climate change fighter is ready for scaling now. Entrepreneur Axel Reinaud outlines three ways to make this material more accessible to farmers -- so that our food system, energy grid and the climate can all reap the benefits. ;2;
85568;The creativity, innovation and ingenuity languishing in US prisons;The freedom journey doesn't end when someone is released from prison. In many ways, it begins. Attorney and entrepreneur Brittany K. Barnett fights to free people from prison and champions restoring and nurturing the creative ingenuity of justice-impacted people. She shares stories of the innovation languishing in America's prisons -- and a vision for investing in people whose unjust sentences interrupted their dreams to bring great things to the world.;2;0
84108;The architectural mastermind behind modern Singapore;Cities designed like families can last for generations. Skeptical? Look to master architect Liu Thai Ker, who transformed Singapore into a modern marvel with his unique approach to sustainable urban design. Liu shares creative wisdom and perspective on how marrying a humanist heart, a scientific mind and an artistic eye creates a resilient marriage of form and function. A talk that both humbles and inspires.;2;
86063;The myth of Loki's monstrous children;"Odin, the king of Asgard, was plagued by nightmares. Three fearsome figures haunted his dreams: a massive, writhing shadow; a shambling, rotting corpse; and worst of all, a monstrous beast with a deadly bite. Though their true forms were unknown to him, he could tell they were related to Asgard's most persistent problem: Loki. Iseult Gillespie details the myth of Loki's secret children. [Directed by Layron DeJarnette, Gumboyo, narrated by Susan Zimmerman, music by Salil Bhayani, cAMP Studio].";2;
84670;"What makes a job ""good"" -- and the case for investing in people";"Businesses need to stop cutting labor costs and start investing in people, says social impact investor Warren Valdmanis. In this perspective-shifting talk, he breaks down the essential ingredients of a ""good"" job -- which is more than just the size of a paycheck -- and shares why they're key to building great companies.";2;1
85425;Language shouldn't be a barrier to climate action;Most scientific literature is written only in English, creating an alarming knowledge gap for the 75 percent of the world who don't speak it. That's a big problem for climate change -- because it's hard to take action on something you don't understand. With Climate Cardinals, an international youth-led nonprofit that's working to make the climate movement more accessible, activist and social entrepreneur Sophia Kianni is furthering the global transfer of knowledge by translating and sourcing crucial climate resources into more than 100 languages. A barrier-breaking talk about the collective effort we'll need to protect the future of our planet.;2;
85999;Human-centered justice;Former judge Victoria Pratt advocates for public policy change towards a more equitable and humane justice system.;2;
