id;id_ponente
87878;0
88259;1
87379;2
86286;3
87806;4
88247;5
87265;6
78169;7
87202;8
86535;9
86287;10
87879;11
87853;12
87645;13
87245;14
87807;15
87756;16
87584;17
87485;18
87482;19
86285;20
87464;21
87246;22
87481;23
86536;24
87042;25
86619;26
82946;27
87043;28
86722;29
87126;30
84183;31
86167;32
86145;33
86534;34
86532;35
86267;36
86062;37
83756;38
86000;39
86567;40
85588;41
86387;42
85266;43
83177;44
85568;45
84108;46
86063;33
84670;48
85425;49
85999;50
86061;51
85658;52
85786;53
86064;54
85260;55
81793;56
81336;57
85259;58
85424;59
76220;60
84107;61
83757;62
84953;63
85220;64
84955;65
81792;56
84611;67
84954;68
85267;69
84913;70
84369;71
84651;72
84669;73
84652;74
84368;75
84121;76
84122;77
84187;78
84056;79
84223;80
84850;81
84912;82
84766;83
81791;56
84612;85
84885;86
84765;87
84571;88
84818;89
84216;90
84503;91
84182;92
81790;56
83537;94
82006;95
81962;96
81789;56
84189;98
84188;98
83180;100
81757;101
82005;95
83767;103
83879;104
84145;105
83686;106
83263;107
83931;108
83539;109
82057;110
81788;56
83264;112
83265;113
83179;114
83420;115
82004;95
81733;117
83178;118
83538;119
83495;120
82299;121
83531;122
83530;123
82058;124
82093;125
82179;126
83540;127
81787;56
83536;129
83359;130
82003;95
83413;132
81731;133
83205;134
83364;135
83167;136
83026;137
81786;56
82792;139
81732;140
83262;141
83266;54
83259;143
83111;144
83031;145
83110;146
82797;147
82920;33
82218;149
82558;150
83053;151
82909;152
82956;153
82001;95
82964;155
82732;156
81728;157
82559;158
81896;159
82791;160
82557;161
82000;95
82733;163
82301;164
82095;165
81999;95
82609;167
82300;12
81727;169
82318;95
82549;171
82590;172
82323;173
81574;174
81988;175
82289;176
82094;177
82302;178
82380;179
81718;180
80827;181
82092;182
81963;183
81580;184
82027;185
81961;186
81706;187
81396;188
81960;189
81405;190
81573;191
81821;192
81847;193
81576;194
81390;195
81609;105
81681;197
81461;198
81501;199
81477;200
81389;201
81388;202
81451;203
81387;204
81386;205
81385;206
81368;207
81338;208
81258;209
81212;210
80940;211
79878;212
81160;213
80686;214
80453;215
80843;216
80768;217
80103;218
80899;219
80733;220
80734;221
80818;222
80820;223
80824;16
80685;225
80509;226
80283;227
80115;228
80355;229
80136;230
79748;231
80056;232
80356;233
80431;234
80405;235
79998;236
80282;237
80104;238
79873;239
80095;240
79961;241
79996;242
79987;243
24250;244
79874;245
79767;246
79408;247
79756;248
79768;249
79747;250
79766;251
79570;252
79424;253
79305;254
79425;255
76221;256
79294;257
77216;258
76212;259
79275;260
79143;261
78861;262
77214;258
77711;264
79152;265
76207;266
78894;267
78775;268
78804;269
78705;33
76209;271
78378;272
78543;273
77213;258
78537;275
76219;276
78312;277
78380;278
77981;279
78455;280
77212;258
76213;282
78168;283
77949;284
78167;285
76217;286
77218;100
78005;288
76208;289
78106;91
77211;258
78170;292
76216;293
77709;294
78004;295
76215;296
77552;297
76222;298
77800;299
77628;300
77210;258
77702;302
77795;303
77043;219
76214;305
76647;306
77606;307
77594;308
77209;258
76223;310
76708;311
77339;312
76218;313
77338;55
76211;209
77144;316
75585;317
77010;258
77146;319
77207;320
77145;321
77097;322
76272;323
77143;258
77111;325
76863;326
76271;327
76841;328
76948;329
76541;330
76707;331
76335;332
75778;55
76634;334
75824;335
75902;120
75174;337
75337;338
76129;339
75901;340
75615;214
66801;342
76130;55
75762;344
75973;345
75845;308
76064;347
75257;348
75498;349
75825;350
75831;351
75119;55
75294;353
75479;354
75488;355
67428;356
75175;55
75605;358
75168;359
74357;360
74296;361
75173;362
74676;363
75268;364
64427;365
74199;366
74915;367
74840;368
75050;369
74616;370
74634;16
74667;372
74697;373
74051;374
74913;375
68458;376
74838;377
72306;378
74478;379
74773;380
74189;381
74131;308
74282;383
74281;384
74360;378
74192;386
73555;369
74405;388
73604;373
73325;390
74191;391
74155;392
73553;369
72807;394
73825;395
73954;396
73599;397
74002;398
70779;399
74003;400
73953;369
73908;402
73722;403
74006;214
73594;405
73824;406
66654;407
71487;408
71238;409
73716;410
73443;411
73540;369
72552;413
73511;414
73530;415
69661;416
71706;417
71237;409
73444;419
72829;420
73346;369
72994;422
73480;423
73347;424
73261;425
68726;426
72363;427
71235;409
73063;369
72933;430
72989;431
73025;432
73225;433
72245;434
66881;435
71234;409
71409;437
73027;438
72988;439
66829;440
72243;441
72870;442
71407;443
68727;444
71233;409
71355;446
70778;110
72797;448
72494;449
67471;450
70888;451
72493;452
72094;453
69662;454
72186;455
71231;409
69384;457
68647;33
66946;459
72454;460
70777;461
71214;462
71900;463
71213;464
72244;465
72025;466
71046;409
68921;468
71516;469
71521;469
69659;471
70380;472
71212;33
67235;474
71043;409
71385;476
70037;477
71211;478
70124;479
68119;480
70361;481
71205;219
70789;483
68976;484
70360;485
71210;486
69785;487
70363;488
66954;489
70362;490
70887;51
71182;492
69385;493
68121;494
70229;495
69869;496
70428;497
70327;498
70403;499
67584;500
70364;501
68118;502
68803;503
70235;55
70091;505
70086;506
69932;55
68122;508
69931;105
69933;510
66948;511
69784;512
70043;513
69712;514
68257;515
69647;33
67740;517
69418;518
69330;519
66358;520
69333;521
69606;522
68952;523
68725;524
65191;525
69139;100
68078;527
69036;528
68928;55
68728;530
67047;531
68120;532
69094;365
68927;534
66564;535
68920;536
67382;537
68975;538
68987;539
68856;540
68457;541
68351;542
68177;543
68739;544
66817;545
68648;546
68126;547
66922;548
68519;549
68729;550
67429;551
68125;552
66458;553
66356;554
68197;555
68236;556
67268;557
68072;558
68165;243
67900;560
66457;103
68127;562
66942;563
65404;564
67430;565
67748;566
67799;16
67872;568
66761;569
67894;570
66956;571
67583;572
66828;573
67898;365
67043;575
