id_charla;id
87878;345
88259;1161
87379;42
86286;5197
87806;69
88247;74
87265;3
78169;232
87202;18
86535;5197
86287;40
87879;58
87853;525
87645;3
87245;491
87807;55
87756;345
87584;52
87485;9
87482;3
86285;80
87464;525
87246;134
87481;72
86536;5
87042;52
86619;257
82946;108
87043;185
86722;10
87126;210
84183;5
86167;55
86145;4
86534;3
86532;5790
86267;40
86062;52
83756;209
86000;144
86567;60
85588;274
86387;3
85266;4
83177;484
85568;68
84108;45
86063;85
84670;18
85425;8
85999;199
86061;525
85658;241
85786;10
86064;3
85260;13
81793;8
81336;52
85259;213
85424;3
76220;161
84107;53
83757;3
84953;525
85220;80
84955;205
81792;352
84611;345
84954;5197
84913;80
84369;241
84651;451
84669;55
84652;255
84368;5
84121;5197
84122;115
84187;329
84056;52
84223;193
84850;62
84912;55
84766;144
81791;596
84612;345
84885;338
84765;188
84571;5197
84818;185
84216;272
84503;525
84182;5789
81790;596
83537;525
82006;241
81962;3
81789;596
84189;92
84188;3
83180;63
81757;1217
82005;101
83767;5197
83879;8
84145;525
83686;5197
83263;8
83931;525
83539;52
82057;5794
81788;59
83179;52
83420;3
82004;134
81733;143
83178;9
83538;87
83495;85
82299;97
83531;5197
83530;9
82058;185
82093;5
82179;62
83540;154
81787;8
83536;525
83359;115
82003;72
83413;80
81731;144
83205;148
83364;76
83167;55
83026;129
81786;59
82792;52
81732;22
83262;281
83266;10
83259;124
83111;85
83031;5197
83110;5197
82797;10
82920;345
82218;52
82558;55
83053;41
82909;525
82956;176
82001;59
82964;281
82732;80
81728;1181
82559;533
81896;3
82791;345
82557;100
82000;75
82733;3
82301;52
82095;277
81999;294
82300;525
81727;533
82318;6394
82549;3
82590;3
82323;195
81574;60
81988;75
82289;124
82094;3
82302;345
81718;533
80827;59
82092;525
81963;101
81580;596
82027;525
81961;557
81706;1181
81396;59
81960;525
81405;40
81573;331
81821;273
81847;52
81576;148
81390;10
81609;525
81681;199
81461;63
81501;525
81477;232
81389;93
81388;5
81451;345
81387;147
81386;232
81385;59
81368;52
81338;185
81258;6536
81212;142
80940;281
79878;8
81160;1217
80686;5787
80453;184
80843;525
80768;9
80103;55
80899;52
80733;47
80734;184
80818;525
80820;63
80824;52
80685;52
80509;81
80283;87
80115;338
80355;52
80136;127
79748;4
80056;499
80356;52
80431;338
80405;255
79998;525
80282;60
80104;199
79873;133
80095;52
79961;99
79996;52
79987;9
24250;81
79874;4
79767;447
79408;52
79756;525
79768;99
79747;341
79766;81
79570;345
79424;121
79305;52
79425;185
76221;199
79294;52
77216;596
76212;189
79275;14
79143;58
78861;21
77214;154
77711;345
76207;68
78894;74
78775;54
78804;525
78705;525
76209;124
78378;5
78543;52
77213;60
78537;525
76219;499
78312;345
78380;274
77981;1131
78455;81
77212;262
76213;271
78168;199
77949;525
78167;232
76217;271
77218;345
78005;206
76208;93
78106;52
77211;596
76216;72
77709;525
78004;206
76215;10
77552;221
76222;236
77800;55
77628;345
77210;185
77702;74
77795;273
77043;52
76214;13
76647;144
77606;255
77594;52
77209;8
76223;8
76708;484
77339;525
76218;271
77338;525
76211;117
77144;533
75585;345
77010;596
77146;10
77207;345
77145;144
77097;525
76272;36
77143;8
77111;100
76863;206
76271;9
76841;345
76948;1161
76541;52
76707;60
76335;175
75778;14
76634;331
75824;10
75902;142
75174;84
75337;345
76129;185
75901;8
75615;258
66801;5
76130;14
75762;232
75973;269
75845;52
75257;184
75498;525
75825;3
75831;50
75119;13
75294;345
75479;239
75488;5
67428;63
75175;27
75168;99
74357;112
74296;525
75173;18
74676;52
75268;10
64427;249
74199;345
74915;18
74840;144
75050;3
74616;55
74634;74
74667;204
74697;18
74051;10
74913;142
68458;8
74838;81
72306;52
74478;90
74773;277
74189;302
74131;525
74282;252
74281;106
74360;52
74192;8
73555;525
74405;10
73604;13
73325;525
74191;453
74155;75
73553;52
72807;64
73825;52
73954;134
73599;93
74002;533
70779;80
74003;273
73953;9
73908;52
73722;144
74006;347
