id;nombre
0;American Family Insurance
1;BCG
2;Brightline Initiative
3;Dell Technologies
4;Doha Debates
5;DuPont
6;DWEN
7;Education Everywhere
8;IBM
9;Intel
10;Merck KGaA, Darmstadt, Germany
11;Novo Nordisk
12;Optum
13;Project management Institute
14;Samsung
15;State Street
16;TED Salon: Education Everywhere
17;The Kavli Foundation, the Simons Foundation and the National Academy of Sciences
18;The Macallan
19;Tommy Hilfiger
20;U.S. Air Force
21;UNDP
22;UNICEF
23;Unilever
24;UPS
25;Verizon
26;We the Future
27;Wells fargo
28;Westpac
29;Zebra technologies
