Column1;First name;Last name;Published
0;Richard;Browning;True
1;Daniel H.;Pink;True
2;Lucas;Joppa;True
3;;Belle and Sebastian;False
4;Mounia;Akl;True
5;Yana;Buhrer Tavanier;True
6;Susan;Ruffo;True
7;Dwan;Reece;True
8;Tim;Dunn;True
9;;Let It Happen;False
10;Dave;Matthews;False
11;Zo????;Karl-Waithaka;True
12;Dan;Kwartler;False
13;Dan;J????rgensen;True
14;Lei;Li;True
15;Nick;Turner;True
16;Elizabeth;Cox;False
17;;Kaz;True
18;Katie;McGinty;True
19;Rachel;Kyte;True
20;Katie;Paterson;True
21;Emily;Zobel Marshall;False
22;Deval;Patrick;True
23;Rha;Goddess;True
24;Zac;Goldsmith;True
25;Thomas;Cronin;False
26;Gala Marija;Vrbanic;True
27;Li-Huei;Tsai;True
28;Emily;Pilloton-Lam;True
29;Dustin;Burke;True
30;Marie;Brodsky;False
31;Gabrielle;Walker;True
32;Reuben Jonathan;Miller;True
33;Iseult;Gillespie;False
34;Carlos M.;Duarte;True
35;Candace;Parker;True
36;Jenny;Scheinman;False
37;Emma;Bryce;False
38;Jennifer;Aaker;True
39;Janet;Stovall;True
40;Sam;Hester;True
41;Ann-Hel????n;Bay;False
42;Bj????rn Otto;Sverdrup;True
43;Pardis;Parker;True
44;Axel;Reinaud;True
45;Brittany K.;Barnett;True
46;Liu;Thai Ker;True
48;Warren;Valdmanis;True
49;Sophia;Kianni;True
50;Victoria;Pratt;True
51;Noah;Charney;False
52;Anna Malaika;Tubbs;True
53;Priscilla;Chomba-Kinywa;True
54;;Countdown;False
55;Alex;Gendler;False
56;Matt;Walker;True
57;Doug;MacKay;False
58;Jamil;Zaki;True
59;Halla;T????masd????ttir;True
60;Gowri;Shankar;True
61;Virginia;Smith;True
62;Jim;Hagemann Snabe;True
63;Ned;Blackhawk;False
64;Karen;Lellouche Tordjman;True
65;Tom;Osborn;True
67;Steve;Rothstein;False
68;Vishaan;Chakrabarti;True
69;;Joan As Police Woman;False
70;Jennifer B.;Nuzzo;True
71;Elizabeth;Zion;True
72;Makhtoum;Abdalla;True
73;Jane;Velkovski;True
74;Peachy;Liv;True
75;Nkosilathi;Nyathi;True
76;Valerie;June;False
77;Sandrine;Dixson-Decl????ve;True
78;Adrian K.;Haugabrook;True
79;Adam;Clulow;False
80;Eric;Hinterman;True
81;Francisca;Mutapi;True
82;Kathryn;Kolbert;True
83;Nyra;Jordan;True
85;Fabio;Pacucci;False
86;Maria;Van Kerkhove;True
87;Sister True;Dedication;True
88;Dawn;Lippert;True
89;Shabana;Basij-Rasikh;True
90;Christina;Costa;True
91;Sheila Marie;Orfano;False
92;James;Rhee;True
94;Madhavi;Venkatesan;False
95;Mona;Chalabi;True
96;Shweta;Narayan;True
98;Latif;Nasser;True
100;Luka;Wright;False
101;Nemonte;Nenquimo;True
103;John;Doerr;True
104;Joshua;Chu-Tan;True
105;Alex;Rosenthal;True
106;Rainn;Wilson;True
107;Aicha;Evans;True
108;Lucas;Majure;False
109;Larry;Irvin;True
110;Jack;Dangermond;True
112;Tyrone;Davis Jr.;
113;;Kimberose;False
114;Jodie;Houlston-Lau;False
115;Nili;Gilbert;True
117;Ruchi;Sinha;False
118;Gavin;McCormick;True
